model,best_params,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogReg,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.9565243465807376,0.010206604232129409,0.9958946158332067,0.00142930655550575
GB,"{'clf__learning_rate': 0.1, 'clf__n_estimators': 100}",0.9538622814640391,0.01781665545612679,0.9940441310970088,0.00276619399108555
RF,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.9691094619666047,0.009135492583363302,0.993704626726867,0.0027274650782077255
SVM,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9509230448818078,0.006888762342900568,0.9935427668992096,0.003717107031043226
AdaBoost,"{'clf__learning_rate': 0.5, 'clf__n_estimators': 200}",0.9420639541981124,0.020338932673205558,0.9928395122936271,0.0015208598802236373
kNN,{'clf__n_neighbors': 9},0.9535216679173224,0.011842749167961717,0.9918751731847522,0.005565883817828652
DT,"{'clf__class_weight': 'balanced', 'clf__max_depth': 5, 'clf__min_samples_leaf': 5}",0.9443278048443083,0.01175252793673703,0.9793401513793203,0.011441951041562775
